id,descripcion,imagen
6430744,"BRICK 1X2, OUTSIDE HALF BOW, NO. 24",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6430744.jpg
6430745,"FLAT TILE 1X8, NO. 98",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6430745.jpg
6431014,"FLAT TILE 2X2, ROUND, NO. 1252",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431014.jpg
6431074,"FLAT TILE 2X2, ROUND, NO. 1253",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431074.jpg
6431712,"FLAT TILE 2X2, ROUND, NO. 1258",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431712.jpg
6431713,"BRICK 1X2, NO. 101",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431713.jpg
6431715,"FLAT TILE 1X1, ROUND, NO. 224",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431715.jpg
6431716,"FLAT TILE 1X1, ROUND, NO. 223",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6431716.jpg
6432101,"FLAT TILE 2X2, ROUND, NO. 1259",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6432101.jpg
6432102,"BRICK 1X2, NO. 102",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6432102.jpg
6432103,"BRICK 1X2, NO. 104",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6432103.jpg
6432104,"BRICK 1X2, NO. 103",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6432104.jpg
6432105,"FLAT TILE 1X1, ROUND, NO. 225",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6432105.jpg
6433501,"FLAT TILE 1X1, ROUND, NO. 226",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6433501.jpg
6433502,"FLAT TILE 1X1, ROUND, NO. 227",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6433502.jpg
6434535,"CREATURE, NO. 167",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434535.jpg
6434196,"FLAT TILE 1X1, ROUND, NO. 238",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434196.jpg
6434197,"FLAT TILE 2X2, ROUND, NO. 1266",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434197.jpg
6434207,"FLAT TILE 1X1, ROUND, NO. 240",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434207.jpg
6434213,"FLAT TILE 1X1, ROUND, NO. 239",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434213.jpg
6434233,"FLAT TILE 2X2, ROUND, NO. 1275",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434233.jpg
6434345,"FLAT TILE 1X1, ROUND, NO. 229",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434345.jpg
6434719,"FLAT TILE 2X2, NO. 683",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434719.jpg
6489355,BRICK 1X4X1 1/3,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6489355.jpg
6434762,"PLATE, W/ BOW 2X2X2/3, NO. 75",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434762.jpg
6434764,"BABY SEAL, NO. 1",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434764.jpg
6434773,"FLAT TILE 1X4, NO. 195",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434773.jpg
6434779,"FLAT TILE 1X2, NO. 376",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434779.jpg
6434820,"SHARK, JAW, NO. 5",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434820.jpg
6434855,"FLAT TILE 2X4, NO. 310",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434855.jpg
6434856,"FLAT TILE 2X4, NO. 311",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434856.jpg
6434857,"FLAT TILE 2X3, NO. 113",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434857.jpg
6434858,"TILE 2X6, NO. 24",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434858.jpg
6434911,"WHALE, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6434911.jpg
6523625,"FLAT TILE 1X2, NO. 386",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6523625.jpg
6435013,"CAT, NO. 39",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435013.jpg
6435089,"FLAT TILE 8X16, NO. 20",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435089.jpg
6435098,"1/4 CIRCLE TILE 1X1, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435098.jpg
6435099,"FLAT TILE 1X1, ROUND, NO. 255",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435099.jpg
6435103,"FLAT TILE 1X1, ROUND, NO. 259",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435103.jpg
6435109,"BUTTERFLY, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435109.jpg
6435173,"BRICK 1X1, NO. 33",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435173.jpg
